GEO,UNIT,SEX,AGE,ICD10\TIME	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
European Union - 27 countries (from 2020),Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	4,243,226 e	4,289,659 e	4,377,747	4,236,137 e	4,311,512 e	4,224,795	4,275,648	4,310,400	4,339,516	4,344,776 e
European Union - 28 countries (2013-2020),Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	4,847,619 e	4,897,704 e	4,989,832	4,820,928 e	4,894,464 e	4,797,019	4,850,335	4,890,097	4,899,133	4,906,442 e
Belgium,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	:	:	106,209	101,256	102,934	100,102	101,384	103,760	103,816	105,152
Bulgaria,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	112,368	112,617	111,927	110,110	113,374	113,438	113,004	110,523	108,068	110,165
Czechia,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	107,755	108,243	111,288	107,177	107,938	104,440	104,636	104,948	107,421	106,844
Denmark,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	57,632	58,397	57,378	55,637	54,712	55,218	55,281	54,265	54,531	:
Germany (until 1990 former territory of the FRG),Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	828,541	841,686	853,946	818,271	830,226	821,627	827,155	844,439	854,544	858,768
Estonia,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	18,516	18,355	18,152	17,685	17,316	17,316	17,409	16,675	16,099	15,780
Ireland,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	30,212	29,683	29,074	28,665	28,260	28,482	28,117	28,274	28,380	27,565
Greece,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	102,559	103,915	105,529	104,942	104,506	104,968	109,353	107,979	108,316	109,084
Spain,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	360,131	368,618	384,828	371,934	387,355	371,478	385,361	386,324	384,933	382,047
France,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	541,183	545,349	562,587	519,441	538,186	526,566	530,820	543,139	547,779	552,571
France (metropolitan),Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	531,072	535,140	552,335	509,419	527,516	515,952	520,535	532,474	537,197	539,078
Croatia,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	49,552	50,569	52,575	49,756	51,790	50,378	52,367	52,151	52,414	52,096
Italy,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	556,892	560,390	588,897	:	:	558,614	572,881	581,470	588,438	584,615
Cyprus,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	4,830	5,168	5,200	5,225	5,425	5,127	5,380	5,194	5,182	5,094
Latvia,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	32,991	32,498	32,437	32,041	32,809	33,119	33,057	31,031	29,920	30,074
Lithuania,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	40,399	41,072	40,990	41,340	43,799	44,813	45,624	43,832	42,032	42,120
Luxembourg,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	3,587	3,603	3,930	3,424	3,481	3,623	3,691	3,434	3,530	3,621
Hungary,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	132,183	132,833	135,823	132,492	135,732	131,603	132,938	130,027	130,414	130,456
Malta,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	2,935	3,031	3,164	2,999	3,130	3,216	3,111	3,243	3,222	3,010
Netherlands,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	140,377	142,355	141,936	136,553	136,402	135,372	133,022	135,136	134,235	136,058
Austria,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	74,767	76,131	77,209	74,292	75,189	74,295	74,625	75,083	77,381	77,199
Poland,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	363,220	359,486	365,230	363,522	368,285	369,686	377,226	379,399	384,940	378,478
Portugal,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	105,582	106,690	109,148	102,371	107,839	102,362	103,888	104,768	104,964	106,242
Romania,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	259,603	269,666	266,573	258,890	262,101	258,094	251,965	253,202	257,213	259,723
Slovenia,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	18,508	18,701	19,451	18,523	18,825	18,180	18,584	18,308	18,750	18,609
Slovakia,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	51,980	51,532	52,230	51,852	53,475	53,301	53,856	53,164	52,913	53,445
Finland,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	48,504	49,389	49,033	47,757	47,751	48,106	49,093	49,090	49,904	50,910
Sweden,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	93,808	95,071	93,003	91,085	91,775	91,271	91,820	91,542	90,177	90,519
United Kingdom,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	604,393	608,045	612,085	584,791	582,952	572,224	574,687	579,697	559,617	561,666
Iceland,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	1,725	1,822	1,826	1,824	1,837	1,903	1,943	1,987	2,002	:
Norway,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	43,977	44,401	42,550	41,257	41,152	41,242	41,963	41,716	41,342	41,442
Switzerland,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	61,228	61,768	63,070	60,180	61,124	60,283	61,089	61,233	62,431	62,649
North Macedonia,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	16,919	17,962	18,006	17,949	18,406	18,630	19,594	18,982	19,060	19,113
Albania,Number,Total,Total,All causes of death (A00-Y89) excluding S00-T98	15,143	16,248	17,965	17,748	:	:	:	:	:	12,139
European Union - 27 countries (from 2020),Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	49,651 e	51,326 e	56,741	54,085 e	56,188 e	56,282	59,602	62,533	64,127	64,345 e
European Union - 28 countries (2013-2020),Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	54,585 e	56,427 e	62,290	59,914 e	63,176 e	64,885	68,889	70,140	70,884	70,308 e
Belgium,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	:	:	2,721	2,649	2,557	2,300	2,222	2,293	2,464	2,506
Bulgaria,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	688	601	630	619	650	624	710	639	587	602
Czechia,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	303	320	306	328	411	457	689	931	1,122	1,029
Denmark,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	388	732	846	812	719	799	871	725	823	:
Germany (until 1990 former territory of the FRG),Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	10,374	10,463	10,891	11,062	12,062	12,356	13,890	14,637	15,496	15,396
Estonia,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	145	123	153	152	108	149	140	122	148	119
Ireland,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	194	192	162	171	181	159	252	219	239	261
Greece,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	636	771	759	667	774	796	961	1,091	1,200	1,076
Spain,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	6,554	6,733	7,299	7,215	7,493	7,199	7,776	7,708	6,843	6,489
France,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	10,504	10,662	11,397	9,891	10,269	10,292	10,204	10,920	11,156	11,129
France (metropolitan),Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	10,125	10,324	11,048	9,557	9,903	9,802	9,874	10,638	10,853	10,718
Croatia,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	517	558	474	373	316	379	407	327	363	337
Italy,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	4,647	5,225	7,373	:	:	7,361	7,936	8,393	9,007	9,621
Cyprus,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	:	:	:	46	54	35	65	68	71	59
Latvia,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	394	309	327	291	294	295	294	286	288	247
Lithuania,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	464	474	479	451	508	514	504	540	451	481
Luxembourg,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	35	55	78	69	109	95	112	103	111	88
Hungary,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	611	576	499	490	500	435	480	420	493	521
Malta,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	11	18	16	13	15	19	22	15	10	5
Netherlands,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	1,648	1,739	1,892	1,869	1,830	1,925	1,848	2,013	2,022	2,104
Austria,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	297	490	579	538	635	545	564	649	667	648
Poland,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	2,313	2,387	2,392	2,231	2,316	2,345	2,274	2,708	2,783	2,806
Portugal,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	2,065	2,042	2,364	2,045	2,240	2,537	2,463	2,652	2,623	2,667
Romania,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	3,451	3,273	3,056	2,900	2,589	2,512	2,375	2,485	2,357	2,474
Slovenia,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	124	106	106	98	202	151	165	142	93	84
Slovakia,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	186	201	262	234	231	283	297	314	356	373
Finland,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	365	381	377	343	367	335	458	437	430	436
Sweden,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	1,106	1,260	1,250	1,155	1,385	1,385	1,623	1,696	1,924	1,964
United Kingdom,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	4,934	5,101	5,549	5,829	6,988	8,603	9,287	7,607	6,757	5,963
Iceland,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	17	13	22	15	12	19	26	21	13	:
Norway,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	521	585	609	590	793	741	835	914	949	941
Switzerland,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	650	627	675	595	574	623	639	677	676	714
North Macedonia,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	149	137	145	125	100	91	92	81	53	62
Albania,Number,Total,Total,Certain infectious and parasitic diseases (A00-B99)	89	94	93	97	:	:	:	:	:	33
European Union - 27 countries (from 2020),Number,Total,Total,Tuberculosis	8,671 e	8,255 e	8,059	7,390 e	7,062 e	6,474	6,342	6,058	5,773	5,235 e
European Union - 28 countries (2013-2020),Number,Total,Total,Tuberculosis	9,165 e	8,758 e	8,568	7,837 e	7,514 e	6,950	6,728	6,491	6,171	5,599 e
Belgium,Number,Total,Total,Tuberculosis	:	:	92	72	88	59	84	76	58	57
Bulgaria,Number,Total,Total,Tuberculosis	299	287	276	269	274	270	275	231	197	198
Czechia,Number,Total,Total,Tuberculosis	94	83	81	69	69	61	70	53	51	39
Denmark,Number,Total,Total,Tuberculosis	38	35	26	38	26	21	25	16	26	:
Germany (until 1990 former territory of the FRG),Number,Total,Total,Tuberculosis	536	507	512	441	450	433	446	363	345	350
Estonia,Number,Total,Total,Tuberculosis	99	88	95	100	51	67	63	55	49	41
Ireland,Number,Total,Total,Tuberculosis	32	41	37	40	25	41	53	32	37	36
Greece,Number,Total,Total,Tuberculosis	105	86	107	75	89	81	95	80	87	71
Spain,Number,Total,Total,Tuberculosis	490	491	473	445	475	396	409	349	394	392
France,Number,Total,Total,Tuberculosis	1,061	969	959	837	861	743	682	653	639	604
France (metropolitan),Number,Total,Total,Tuberculosis	1,049	947	942	824	850	727	667	642	633	583
Croatia,Number,Total,Total,Tuberculosis	145	181	160	161	116	142	100	101	120	82
Italy,Number,Total,Total,Tuberculosis	439	451	498	:	:	407	394	390	408	373
